freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	avgPL_sig	avgPL_ref
2820000000.00000000	5753.75600000	5768.25400000	5768.61400000	5777.41400000	5791.29600000	5810.54400000	5698.57600000	5718.18400000	5741.89200000	5754.26400000	5750.82680000	5765.73200000
2820502512.56281424	5718.31600000	5727.30200000	5840.30000000	5850.92800000	5854.12800000	5867.44400000	5747.02800000	5761.23000000	5761.46800000	5772.39000000	5784.24800000	5795.85880000
2821005025.12562799	5782.70200000	5796.19600000	5758.91600000	5768.20800000	5795.26200000	5797.81400000	5708.29800000	5713.22200000	5727.75800000	5728.14800000	5754.58720000	5760.71760000
2821507537.68844223	5730.87200000	5737.38200000	5794.10000000	5805.10400000	5762.94600000	5764.07200000	5707.63800000	5709.03600000	5713.51800000	5711.66200000	5741.81480000	5745.45120000
2822010050.25125647	5770.18200000	5776.27200000	5868.45600000	5874.43400000	5734.29800000	5738.51400000	5858.76000000	5868.95400000	5772.75000000	5781.17000000	5800.88920000	5807.86880000
2822512562.81407022	5793.11200000	5796.27000000	5819.93000000	5824.23600000	5785.97400000	5791.33000000	5722.64400000	5728.44000000	5690.30400000	5697.02000000	5762.39280000	5767.45920000
2823015075.37688446	5821.27000000	5820.10000000	5770.20800000	5769.11000000	5846.00400000	5850.73200000	5790.89400000	5798.91000000	5719.01400000	5723.37600000	5789.47800000	5792.44560000
2823517587.93969870	5769.10200000	5778.51400000	5783.48600000	5791.60400000	5872.60200000	5873.94400000	5673.60800000	5678.17800000	5770.84000000	5770.65200000	5773.92760000	5778.57840000
2824020100.50251245	5762.53400000	5763.62400000	5867.16400000	5866.16600000	5778.27000000	5777.09200000	5837.03400000	5839.05600000	5830.51400000	5839.62800000	5815.10320000	5817.11320000
2824522613.06532669	5729.03400000	5738.20400000	5767.33400000	5772.47600000	5815.85200000	5823.94400000	5745.70400000	5740.84600000	5731.27400000	5732.23400000	5757.83960000	5761.54080000
2825025125.62814093	5751.25400000	5757.49200000	5828.18600000	5833.55200000	5798.84000000	5801.54400000	5763.64400000	5772.38800000	5704.23800000	5710.99600000	5769.23240000	5775.19440000
2825527638.19095469	5798.77200000	5797.69600000	5710.01600000	5709.82800000	5896.30200000	5894.50000000	5779.82800000	5781.21400000	5693.62800000	5696.72600000	5775.70920000	5775.99280000
2826030150.75376892	5854.37000000	5851.76600000	5805.43400000	5810.83600000	5757.52800000	5759.31600000	5812.84600000	5811.58600000	5834.48200000	5836.41600000	5812.93200000	5813.98400000
2826532663.31658268	5764.02400000	5761.65800000	5733.52600000	5731.38600000	5704.15600000	5705.67400000	5727.06000000	5730.03400000	5681.02400000	5684.11200000	5721.95800000	5722.57280000
2827035175.87939692	5743.94600000	5746.45800000	5857.54000000	5855.55600000	5752.02400000	5752.47400000	5874.75000000	5872.33800000	5827.33800000	5825.78200000	5811.11960000	5810.52160000
2827537688.44221115	5822.74600000	5827.80400000	5790.65400000	5799.24400000	5684.84600000	5686.78800000	5754.14200000	5759.10400000	5710.16200000	5706.38400000	5752.51000000	5755.86480000
2828040201.00502491	5820.27800000	5821.09600000	5797.55200000	5802.58000000	5719.60000000	5719.37000000	5827.76600000	5831.97200000	5771.68400000	5768.37400000	5787.37600000	5788.67840000
2828542713.56783915	5618.58400000	5626.15600000	5871.77800000	5869.51000000	5767.96400000	5766.07600000	5807.07200000	5812.87800000	5758.47400000	5756.68800000	5764.77440000	5766.26160000
2829045226.13065338	5821.47000000	5829.31800000	5793.19400000	5794.66600000	5706.06200000	5705.52200000	5706.01800000	5720.63600000	5668.40000000	5673.31800000	5739.02880000	5744.69200000
2829547738.69346714	5762.81600000	5766.78000000	5799.37800000	5800.78600000	5698.82800000	5707.76800000	5736.13400000	5739.68200000	5749.52800000	5760.98600000	5749.33680000	5755.20040000
2830050251.25628138	5717.05400000	5720.29000000	5791.91600000	5801.59600000	5744.94800000	5750.98600000	5776.49400000	5776.60400000	5766.21800000	5770.32600000	5759.32600000	5763.96040000
2830552763.81909561	5789.73600000	5789.84200000	5766.82600000	5769.66600000	5819.52800000	5824.84000000	5694.83400000	5696.17400000	5742.99000000	5750.10800000	5762.78280000	5766.12600000
2831055276.38190937	5829.05200000	5829.94600000	5817.04000000	5821.31400000	5777.77800000	5783.42000000	5785.97800000	5791.55400000	5691.88400000	5697.56600000	5780.34640000	5784.76000000
2831557788.94472361	5890.26800000	5897.31000000	5848.87400000	5853.40000000	5776.09000000	5790.91000000	5764.41000000	5776.96800000	5816.44200000	5820.62600000	5819.21680000	5827.84280000
2832060301.50753784	5792.19000000	5802.25400000	5784.75200000	5795.19200000	5843.76200000	5856.08000000	5720.77200000	5718.13000000	5725.34600000	5731.98200000	5773.36440000	5780.72760000
2832562814.07035160	5811.12000000	5828.98400000	5837.39000000	5835.44400000	5790.45800000	5797.56800000	5817.86800000	5821.27200000	5711.40800000	5721.40400000	5793.64880000	5800.93440000
2833065326.63316584	5690.42200000	5696.39600000	5785.59800000	5796.64200000	5749.05000000	5762.15800000	5793.42800000	5808.26600000	5795.83400000	5796.33600000	5762.86640000	5771.95960000
2833567839.19598007	5772.72200000	5781.40800000	5784.28800000	5788.49200000	5808.51400000	5819.22400000	5725.18600000	5737.18000000	5750.71200000	5766.08200000	5768.28440000	5778.47720000
2834070351.75879383	5798.77400000	5808.80400000	5813.75000000	5826.66600000	5854.94200000	5859.64200000	5765.18200000	5779.75800000	5781.09800000	5782.57800000	5802.74920000	5811.48960000
2834572864.32160807	5711.71600000	5717.53800000	5775.99600000	5789.03400000	5712.10600000	5729.09600000	5781.83600000	5793.18800000	5682.76200000	5692.51600000	5732.88320000	5744.27440000
2835075376.88442230	5768.07800000	5780.95600000	5810.09600000	5813.67000000	5758.75600000	5763.07600000	5718.27200000	5734.98000000	5727.84000000	5730.72600000	5756.60840000	5764.68160000
