freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	PL_sig6	PL_ref6	PL_sig7	PL_ref7	PL_sig8	PL_ref8	PL_sig9	PL_ref9	PL_sig10	PL_ref10	PL_sig11	PL_ref11	PL_sig12	PL_ref12	PL_sig13	PL_ref13	PL_sig14	PL_ref14	PL_sig15	PL_ref15	PL_sig16	PL_ref16	PL_sig17	PL_ref17	PL_sig18	PL_ref18	PL_sig19	PL_ref19	PL_sig20	PL_ref20	PL_sig21	PL_ref21	PL_sig22	PL_ref22	PL_sig23	PL_ref23	PL_sig24	PL_ref24	PL_sig25	PL_ref25	avgPL_sig	avgPL_ref
2820000000.00000000	7029.63000000	7032.92000000	6999.35400000	6996.01800000	7022.79000000	7020.86000000	6994.60200000	6995.14600000	7071.57200000	7051.79200000	7044.96200000	7035.94000000	7033.35200000	7023.28400000	7067.91000000	7059.23800000	7074.51600000	7038.62000000	7046.21200000	7034.11200000	7053.22800000	7035.27200000	7068.01400000	7059.86200000	7072.26400000	7069.90000000	7097.36400000	7078.46200000	7118.20600000	7099.31600000	7090.27400000	7067.13400000	7070.69400000	7060.23400000	7090.04000000	7095.15600000	7103.27200000	7086.25800000	7083.21200000	7076.21600000	7063.99600000	7072.44200000	7075.30800000	7067.82400000	7104.27200000	7093.18600000	7050.87400000	7055.75600000	7121.71400000	7094.07600000	7065.90528000	7055.96096000
2820502512.56281424	7012.06000000	6997.58000000	7026.49400000	7019.94200000	7016.00200000	7005.91200000	7018.36600000	7011.87600000	7051.78800000	7046.32200000	7039.21800000	7043.43800000	7070.33800000	7061.93000000	7025.51600000	7021.15000000	7059.51000000	7048.48600000	7075.63000000	7060.30000000	7054.54000000	7050.55800000	7064.00600000	7063.01400000	7059.80400000	7042.99000000	7115.97400000	7104.75200000	7118.73400000	7105.21400000	7097.10200000	7089.65400000	7101.09200000	7097.52000000	7075.93800000	7069.57200000	7091.97000000	7087.95600000	7111.91000000	7094.98600000	7047.90600000	7040.85800000	7096.83600000	7085.14600000	7056.31600000	7067.23000000	7074.37600000	7063.17000000	7068.66400000	7063.65800000	7065.20360000	7057.72856000
2821005025.12562799	7007.36000000	7002.24000000	7029.54400000	7014.87800000	7001.16000000	6998.53000000	7007.25400000	7011.99200000	7048.86400000	7038.55400000	7040.67800000	7020.45600000	7073.95600000	7070.97200000	7022.10000000	7016.46600000	7059.67200000	7048.43800000	7079.56000000	7064.16000000	7049.34800000	7029.72200000	7080.59000000	7063.25600000	7042.21600000	7033.82600000	7121.39600000	7099.35800000	7100.32000000	7080.34000000	7085.26600000	7100.33200000	7114.42400000	7095.65000000	7078.53000000	7078.34800000	7092.99000000	7079.03800000	7101.53600000	7101.60000000	7035.79400000	7042.73000000	7090.96200000	7074.85600000	7075.14200000	7067.35400000	7076.47600000	7058.71800000	7071.62800000	7044.12200000	7063.47064000	7053.43744000
2821507537.68844223	7033.30000000	7020.71000000	7029.67200000	7027.10800000	7023.67800000	7006.87800000	6996.67400000	6990.75800000	7037.93400000	7041.45600000	7030.72800000	7024.39400000	7046.92200000	7031.52600000	7069.00000000	7048.51800000	7045.04000000	7034.40800000	7073.29400000	7058.77600000	7057.04600000	7045.30800000	7083.54400000	7061.56200000	7078.13200000	7080.80200000	7078.97400000	7071.77600000	7107.25400000	7101.23600000	7076.10200000	7071.19600000	7108.64000000	7085.66000000	7081.23000000	7091.25600000	7091.65800000	7089.56800000	7062.29400000	7051.78600000	7085.08800000	7084.84400000	7073.95600000	7066.28200000	7120.04200000	7096.52600000	7068.52000000	7062.50400000	7113.33600000	7102.90400000	7066.88232000	7057.90968000
2822010050.25125647	7001.13200000	6995.95400000	6994.54200000	6995.45200000	7019.34800000	6990.54800000	7031.10200000	7032.29000000	7051.66200000	7036.82200000	7060.27000000	7033.04200000	7081.59400000	7071.13000000	7023.04600000	7017.88000000	7065.89000000	7035.83600000	7072.65400000	7064.33000000	7040.37800000	7025.24600000	7063.96800000	7058.51200000	7052.31800000	7025.04600000	7081.01200000	7078.85000000	7095.17200000	7082.94000000	7109.52600000	7097.78400000	7100.40400000	7099.02600000	7095.30200000	7086.59600000	7083.27000000	7070.74400000	7106.08800000	7099.72800000	7056.76200000	7056.49200000	7084.78800000	7074.25400000	7085.17000000	7059.31600000	7088.84400000	7072.32400000	7061.23600000	7045.23800000	7064.21912000	7052.21520000
2822512562.81407022	7018.57000000	6999.45200000	7023.07400000	7027.94000000	7015.53400000	7013.75400000	7044.37600000	7028.55400000	7041.27600000	7039.34400000	7046.21000000	7031.74600000	7062.30000000	7060.21600000	7041.63800000	7030.10400000	7051.33800000	7039.81800000	7062.90200000	7060.63600000	7034.78400000	7030.27000000	7096.13400000	7076.53200000	7063.65800000	7055.07200000	7097.10200000	7091.50000000	7116.84000000	7110.05600000	7089.55400000	7071.48400000	7111.98400000	7107.53600000	7120.52600000	7092.01200000	7112.48000000	7100.54400000	7091.19800000	7091.23600000	7089.13600000	7083.81600000	7112.06400000	7094.54200000	7108.24800000	7108.13200000	7056.66200000	7047.47000000	7088.75400000	7088.40800000	7071.85368000	7063.20696000
2823015075.37688446	7007.83800000	7007.60600000	7019.87600000	7021.59000000	7022.15800000	7001.25800000	7054.83600000	7032.46800000	7035.46400000	7033.57800000	7039.90400000	7028.37400000	7072.57800000	7048.28000000	7038.64000000	7034.85200000	7054.65400000	7031.68200000	7057.89600000	7050.30400000	7049.01000000	7027.51200000	7081.40200000	7052.50800000	7068.68200000	7055.26400000	7110.77400000	7081.34600000	7119.51400000	7109.68400000	7078.85800000	7074.49200000	7110.67000000	7093.67200000	7102.89600000	7099.56400000	7104.57600000	7085.81000000	7094.64000000	7092.79000000	7091.41800000	7082.56400000	7102.68200000	7098.00600000	7120.39400000	7119.01400000	7051.84800000	7042.68400000	7077.69000000	7071.88200000	7070.75592000	7059.07136000
2823517587.93969870	7026.98800000	7015.26000000	7019.96800000	7008.58800000	7057.15400000	7040.04800000	7032.49600000	7002.43400000	7034.98000000	7016.14400000	7061.06600000	7059.72400000	7046.18200000	7040.91600000	7047.53400000	7032.56800000	7022.82600000	7012.18000000	7059.47800000	7048.52000000	7070.27600000	7050.30400000	7091.07600000	7068.42600000	7090.50800000	7090.93200000	7092.60200000	7079.79600000	7130.39200000	7095.69400000	7122.05000000	7110.16200000	7119.32600000	7099.96800000	7082.53400000	7087.08000000	7139.31800000	7129.45000000	7069.85800000	7060.90600000	7105.57200000	7090.39200000	7066.42800000	7054.98600000	7104.40000000	7089.01000000	7046.34000000	7043.31400000	7101.43600000	7087.19600000	7073.63152000	7060.55992000
2824020100.50251245	7037.03000000	7018.94400000	7017.27000000	7014.04200000	7028.35600000	7010.22200000	7016.34400000	7005.84600000	7052.82000000	7038.87200000	7055.39000000	7033.56000000	7069.89800000	7052.52800000	7049.61800000	7030.02800000	7077.30400000	7061.36800000	7049.15000000	7047.41600000	7035.08200000	7012.69600000	7100.21000000	7087.24200000	7067.96800000	7059.34200000	7075.79800000	7077.13000000	7099.43000000	7090.26000000	7080.79400000	7072.73400000	7099.93800000	7091.74800000	7095.13800000	7094.29400000	7089.49000000	7073.64800000	7070.98000000	7082.00600000	7100.14000000	7087.10000000	7100.08800000	7086.22600000	7097.62400000	7097.43800000	7080.59600000	7062.86600000	7076.72800000	7081.43600000	7068.92736000	7058.75968000
2824522613.06532669	7033.20200000	7021.23600000	7017.95800000	7000.34600000	7047.46600000	7037.55200000	7016.19000000	7001.55600000	7036.85000000	7015.67200000	7069.48200000	7046.98600000	7062.54800000	7046.66600000	7065.45800000	7057.90200000	7054.64200000	7040.48400000	7056.68000000	7027.21600000	7061.41600000	7059.94200000	7093.04800000	7094.51200000	7093.18800000	7078.64800000	7094.75600000	7074.33600000	7119.25800000	7098.98600000	7099.93000000	7085.98200000	7103.18800000	7088.37800000	7107.66800000	7074.00800000	7094.27000000	7082.78000000	7089.86600000	7057.64400000	7103.18800000	7090.47200000	7074.51200000	7063.76000000	7083.58400000	7066.43800000	7057.55400000	7050.71400000	7111.74800000	7107.96200000	7073.90600000	7058.80712000
