freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	avgPL_sig	avgPL_ref
2720000000.00000000	4890.32400000	4887.05200000	4896.76800000	4896.70000000	4824.28800000	4822.03200000	4834.06000000	4829.96000000	4816.27400000	4820.07600000	4852.34280000	4851.16400000
2721003344.48160553	4897.08000000	4887.40200000	4905.01600000	4893.98600000	4816.90600000	4807.85600000	4831.28800000	4828.13400000	4834.36600000	4824.54600000	4856.93120000	4848.38480000
2722006688.96321058	4903.03600000	4898.53800000	4893.31600000	4885.69600000	4830.56200000	4820.88200000	4803.20600000	4797.18400000	4806.67400000	4798.44800000	4847.35880000	4840.14960000
2723010033.44481611	4830.43800000	4822.74600000	4869.95000000	4861.86000000	4814.44800000	4806.61800000	4860.49400000	4855.11400000	4864.29600000	4858.79600000	4847.92520000	4841.02680000
2724013377.92642164	4866.53000000	4864.77400000	4884.11800000	4877.23000000	4857.35800000	4856.43600000	4842.96000000	4832.20800000	4802.18000000	4800.23600000	4850.62920000	4846.17680000
2725016722.40802670	4852.08800000	4848.11800000	4888.39600000	4887.09600000	4842.38000000	4835.60600000	4801.45600000	4798.02600000	4850.83000000	4845.38800000	4847.03000000	4842.84680000
2726020066.88963223	4787.86400000	4791.08400000	4885.25600000	4878.28800000	4836.96800000	4826.98400000	4877.94400000	4870.11000000	4840.61600000	4833.55400000	4845.72960000	4840.00400000
2727023411.37123728	4856.04600000	4847.22400000	4906.63800000	4898.18400000	4837.31000000	4834.09000000	4811.90400000	4804.26200000	4853.90400000	4849.71200000	4853.16040000	4846.69440000
2728026755.85284281	4897.07200000	4888.40600000	4866.50400000	4864.61800000	4883.18200000	4872.61800000	4846.06400000	4842.72200000	4796.00600000	4794.12800000	4857.76560000	4852.49840000
2729030100.33444834	4830.72400000	4825.68400000	4875.79400000	4867.27600000	4821.85000000	4814.28800000	4860.70800000	4861.10000000	4866.58400000	4862.65000000	4851.13200000	4846.19960000
2730033444.81605339	4897.63600000	4897.34800000	4901.09200000	4896.95000000	4810.61000000	4807.22000000	4830.46000000	4830.23200000	4836.85400000	4826.59800000	4855.33040000	4851.66960000
2731036789.29765892	4872.94400000	4871.07000000	4880.69600000	4879.00400000	4863.19200000	4864.25000000	4843.21600000	4840.75200000	4808.89600000	4798.50800000	4853.78880000	4850.71680000
2732040133.77926445	4915.65200000	4904.36000000	4900.50400000	4893.33000000	4830.97400000	4819.24200000	4822.56200000	4820.11000000	4813.06200000	4807.48800000	4856.55080000	4848.90600000
2733043478.26086950	4837.75000000	4829.62400000	4865.40200000	4864.32600000	4818.10200000	4810.97600000	4858.61400000	4854.99800000	4861.12800000	4863.00000000	4848.19920000	4844.58480000
2734046822.74247503	4889.04600000	4888.09000000	4871.48800000	4866.32800000	4882.17600000	4879.86000000	4841.80400000	4837.71400000	4799.93000000	4790.40200000	4856.88880000	4852.47880000
