freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	avgPL_sig	avgPL_ref
2720000000.00000000	1649.09600000	1648.08800000	1650.81000000	1655.01600000	1651.65000000	1651.20800000	1648.32000000	1650.19200000	1645.57800000	1648.68200000	1649.09080000	1650.63720000
2721003344.48160553	1645.47000000	1646.62000000	1653.14400000	1654.12600000	1651.22200000	1653.88600000	1650.19000000	1646.94600000	1640.32600000	1636.88000000	1648.07040000	1647.69160000
2722006688.96321058	1653.71400000	1651.71400000	1651.22600000	1651.75600000	1649.70000000	1650.72600000	1647.62000000	1650.31200000	1651.79200000	1647.13000000	1650.81040000	1650.32760000
2723010033.44481611	1657.09000000	1653.03000000	1649.63800000	1650.77200000	1651.17200000	1650.75800000	1649.02000000	1648.42200000	1647.26200000	1643.50800000	1650.83640000	1649.29800000
2724013377.92642164	1650.08600000	1650.79800000	1651.49400000	1650.21600000	1651.45400000	1652.12800000	1648.43400000	1649.24400000	1645.23400000	1648.63000000	1649.34040000	1650.20320000
2725016722.40802670	1645.88600000	1650.03600000	1653.74600000	1654.66000000	1653.18000000	1651.78600000	1653.83400000	1650.43400000	1637.41000000	1638.92600000	1648.81120000	1649.16840000
2726020066.88963223	1663.04800000	1658.01600000	1652.12400000	1650.00000000	1651.51600000	1653.48800000	1654.86200000	1658.62000000	1648.88800000	1650.64200000	1654.08760000	1654.15320000
2727023411.37123728	1656.09000000	1657.88200000	1656.04600000	1654.46600000	1656.60400000	1651.75600000	1655.58800000	1653.85200000	1656.85800000	1655.80000000	1656.23720000	1654.75120000
2728026755.85284281	1656.32600000	1651.13800000	1655.31200000	1655.35200000	1649.65200000	1647.97000000	1656.13800000	1656.55200000	1654.72800000	1651.28800000	1654.43120000	1652.46000000
2729030100.33444834	1658.09600000	1656.11200000	1655.05200000	1654.50400000	1649.09000000	1652.97000000	1656.36400000	1654.43200000	1651.93600000	1651.80600000	1654.10760000	1653.96480000
2730033444.81605339	1646.16200000	1647.93200000	1652.63000000	1658.73600000	1651.20000000	1649.88600000	1652.34200000	1649.77200000	1636.45000000	1636.40600000	1647.75680000	1648.54640000
2731036789.29765892	1650.89800000	1653.22800000	1652.94000000	1651.16400000	1650.77000000	1649.23600000	1649.90000000	1646.62200000	1645.42200000	1643.80600000	1649.98600000	1648.81120000
2732040133.77926445	1650.22400000	1651.31400000	1649.34200000	1648.88000000	1650.73600000	1650.88400000	1648.49200000	1647.64400000	1648.17800000	1646.71000000	1649.39440000	1649.08640000
2733043478.26086950	1656.02000000	1648.61400000	1650.89200000	1653.93200000	1648.95800000	1651.54600000	1650.42000000	1649.36200000	1649.58000000	1649.53600000	1651.17400000	1650.59800000
2734046822.74247503	1657.44800000	1652.31000000	1650.61200000	1648.06400000	1652.49000000	1654.83000000	1649.90600000	1648.64400000	1649.07000000	1643.94200000	1651.90520000	1649.55800000
2735050167.22408009	1654.30200000	1657.86400000	1655.87800000	1657.90400000	1654.17400000	1650.27600000	1650.54600000	1653.34800000	1657.14800000	1654.63400000	1654.40960000	1654.80520000
2736053511.70568562	1655.94600000	1652.20200000	1656.76400000	1654.00600000	1644.02600000	1641.78400000	1649.94200000	1647.18600000	1652.51800000	1649.33600000	1651.83920000	1648.90280000
2737056856.18729115	1647.88800000	1643.64400000	1653.48400000	1653.36400000	1648.66200000	1654.13800000	1653.63600000	1652.74600000	1639.11000000	1638.12400000	1648.55600000	1648.40320000
2738060200.66889620	1661.93400000	1661.55400000	1653.61600000	1651.43600000	1650.78200000	1649.31000000	1655.97600000	1655.73000000	1657.25000000	1653.59000000	1655.91160000	1654.32400000
2739063545.15050173	1651.64000000	1653.21200000	1652.09200000	1651.26800000	1648.68000000	1652.12800000	1648.63200000	1648.22600000	1647.54200000	1649.22600000	1649.71720000	1650.81200000
2740066889.63210726	1652.99200000	1651.49600000	1659.20800000	1656.89000000	1648.86800000	1649.77000000	1649.69400000	1649.63200000	1641.80600000	1644.02200000	1650.51360000	1650.36200000
2741070234.11371231	1653.40800000	1654.10800000	1649.62000000	1651.61200000	1645.13400000	1643.49200000	1649.32400000	1647.13400000	1647.47200000	1645.81200000	1648.99160000	1648.43160000
2742073578.59531784	1647.13200000	1645.72600000	1657.65800000	1656.26400000	1651.36000000	1649.38800000	1652.25600000	1650.03600000	1639.36800000	1635.05800000	1649.55480000	1647.29440000
2743076923.07692289	1648.94800000	1647.84600000	1653.92200000	1652.23200000	1654.31000000	1652.46600000	1650.86200000	1650.57800000	1640.47400000	1634.19200000	1649.70320000	1647.46280000
2744080267.55852842	1652.41200000	1657.19400000	1649.18800000	1650.12000000	1654.14200000	1655.00400000	1650.11600000	1644.40800000	1644.35800000	1645.18600000	1650.04320000	1650.38240000
2745083612.04013395	1650.94400000	1652.97000000	1653.59000000	1653.35800000	1649.60000000	1648.56000000	1647.47600000	1647.28800000	1645.25000000	1645.76800000	1649.37200000	1649.58880000
2746086956.52173901	1654.04800000	1652.49400000	1659.33000000	1654.82800000	1650.80200000	1650.56200000	1652.97800000	1654.53200000	1643.34400000	1642.02000000	1652.10040000	1650.88720000
2747090301.00334454	1654.09800000	1655.65600000	1650.24400000	1649.06200000	1655.58400000	1653.36200000	1650.27400000	1649.88000000	1642.30400000	1644.72600000	1650.50080000	1650.53720000
2748093645.48495007	1652.51000000	1656.63800000	1650.62400000	1651.27400000	1652.23800000	1652.77600000	1652.41000000	1651.44400000	1652.17200000	1652.66800000	1651.99080000	1652.96000000
2749096989.96655512	1648.04800000	1649.65400000	1652.15800000	1651.61000000	1649.31600000	1654.39800000	1652.18400000	1652.61000000	1637.74200000	1637.38600000	1647.88960000	1649.13160000
