freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	PL_sig6	PL_ref6	PL_sig7	PL_ref7	PL_sig8	PL_ref8	PL_sig9	PL_ref9	PL_sig10	PL_ref10	avgPL_sig	avgPL_ref
2720000000.00000000	2824.67400000	2817.64800000	2735.93800000	2734.64800000	2736.43800000	2738.17200000	2745.90600000	2735.83000000	2715.71200000	2714.20600000	2748.62200000	2746.95200000	2730.10200000	2730.75600000	2775.51600000	2773.28000000	2726.77600000	2726.71200000	2717.70800000	2717.40200000	2745.73920000	2743.56060000
2721003344.48160553	2820.55000000	2814.73200000	2724.50000000	2726.44800000	2749.97400000	2744.49600000	2715.03400000	2714.38000000	2757.21400000	2757.71800000	2741.66800000	2742.33400000	2745.36600000	2743.93400000	2749.48000000	2750.99000000	2708.44600000	2702.04600000	2710.68600000	2710.47800000	2742.29180000	2740.75560000
2722006688.96321058	2806.13800000	2806.34600000	2772.23800000	2768.46200000	2761.73800000	2758.94200000	2730.97400000	2725.06400000	2824.77200000	2817.99600000	2723.03000000	2722.86000000	2740.54000000	2743.36000000	2734.59200000	2736.45000000	2814.57400000	2815.61600000	2707.47800000	2704.86600000	2761.60740000	2759.99620000
2723010033.44481611	2826.86600000	2816.10400000	2751.84200000	2752.66000000	2735.52000000	2727.97600000	2752.42400000	2750.49600000	2754.35000000	2748.01600000	2797.01000000	2793.55800000	2734.85000000	2739.56800000	2737.35200000	2740.02200000	2715.60600000	2713.28800000	2693.79200000	2689.50400000	2749.96120000	2747.11920000
2724013377.92642164	2835.39200000	2834.65200000	2766.36000000	2762.47800000	2736.02800000	2739.57800000	2747.48000000	2745.49200000	2724.03000000	2721.40200000	2762.96800000	2757.65400000	2730.28000000	2727.72000000	2739.75200000	2742.47800000	2709.49600000	2707.08600000	2706.43000000	2696.49400000	2745.82160000	2743.50340000
2725016722.40802670	2792.36200000	2793.05200000	2762.39200000	2763.02200000	2795.26400000	2794.21200000	2749.61000000	2747.92600000	2772.54000000	2768.46600000	2726.71200000	2722.47000000	2734.94600000	2735.49400000	2732.51200000	2731.07000000	2800.24400000	2796.85000000	2687.52800000	2683.38400000	2755.41100000	2753.59460000
2726020066.88963223	2830.34800000	2827.25000000	2759.04400000	2757.55200000	2727.17600000	2723.64400000	2737.02400000	2738.04800000	2744.83800000	2748.69600000	2793.95000000	2790.00000000	2745.85400000	2746.12000000	2735.99000000	2735.48800000	2723.02400000	2724.06200000	2694.33000000	2691.26000000	2749.15780000	2748.21200000
2727023411.37123728	2810.06800000	2803.91800000	2742.23200000	2737.67400000	2802.06800000	2797.89600000	2763.68000000	2761.61200000	2755.31400000	2751.81400000	2732.60800000	2732.95600000	2729.64800000	2729.29000000	2739.53400000	2736.49200000	2769.40800000	2770.44600000	2696.70000000	2695.97000000	2754.12600000	2751.80680000
2728026755.85284281	2812.35400000	2810.32400000	2723.64800000	2725.62600000	2736.61000000	2732.48400000	2721.35800000	2723.27200000	2777.94000000	2775.06200000	2751.83000000	2757.89600000	2735.48600000	2736.49000000	2735.45600000	2731.89800000	2717.26000000	2714.12400000	2701.45400000	2699.09000000	2741.33960000	2740.62660000
2729030100.33444834	2805.09200000	2801.84000000	2738.49600000	2740.20600000	2742.81600000	2743.05000000	2752.57600000	2751.04600000	2755.50800000	2752.19200000	2803.79800000	2801.02200000	2724.28200000	2714.96600000	2735.66800000	2734.17200000	2737.41400000	2737.49200000	2708.09000000	2703.48800000	2750.37400000	2747.94740000
