freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	PL_sig6	PL_ref6	PL_sig7	PL_ref7	PL_sig8	PL_ref8	PL_sig9	PL_ref9	PL_sig10	PL_ref10	avgPL_sig	avgPL_ref
2720000000.00000000	2420.16200000	2417.73000000	2436.93000000	2434.95800000	2415.88400000	2418.83200000	2418.09200000	2414.08000000	2415.70600000	2411.29000000	2415.06200000	2416.57600000	2436.57400000	2436.24200000	2436.52600000	2430.71200000	2424.58800000	2423.61400000	2415.65800000	2414.10600000	2423.51820000	2421.81400000
2721003344.48160553	2418.49400000	2420.72200000	2449.05000000	2447.60000000	2423.72600000	2418.57200000	2416.58800000	2416.34000000	2424.07600000	2425.44400000	2411.18400000	2412.91000000	2431.34200000	2431.41600000	2428.00400000	2431.98000000	2411.78400000	2413.17600000	2415.80800000	2415.95600000	2423.00560000	2423.41160000
2722006688.96321058	2440.63200000	2442.54000000	2437.80800000	2440.55000000	2431.01200000	2429.94200000	2409.51400000	2407.63800000	2410.22800000	2409.91000000	2437.10200000	2435.98600000	2421.24800000	2418.74800000	2404.08400000	2404.01600000	2413.04400000	2413.45200000	2411.11200000	2411.81800000	2421.57840000	2421.46000000
2723010033.44481611	2442.87800000	2436.69600000	2438.94600000	2439.92000000	2413.93400000	2408.71800000	2405.40400000	2407.21800000	2447.44400000	2446.75200000	2409.81800000	2409.51200000	2426.03600000	2427.94400000	2424.90200000	2428.12600000	2416.87400000	2416.06400000	2408.87600000	2404.67400000	2423.51120000	2422.56240000
2724013377.92642164	2437.97600000	2440.10400000	2448.98800000	2446.84400000	2433.84000000	2428.98200000	2407.66000000	2407.43800000	2412.59400000	2412.04400000	2444.70200000	2442.46200000	2426.20200000	2423.55400000	2410.11400000	2408.96600000	2414.09400000	2411.42200000	2410.03800000	2409.19800000	2424.62080000	2423.10140000
2725016722.40802670	2439.50600000	2437.66600000	2447.08600000	2448.52000000	2427.33400000	2423.63000000	2417.02800000	2417.65000000	2419.68000000	2417.53400000	2415.18800000	2414.15400000	2417.14600000	2416.79600000	2424.36400000	2424.18200000	2419.99000000	2422.44000000	2409.26800000	2407.20800000	2423.65900000	2422.97800000
2726020066.88963223	2437.16000000	2435.61800000	2421.18200000	2422.79800000	2432.15400000	2431.22600000	2417.98400000	2410.65400000	2405.04000000	2404.02200000	2425.73800000	2428.56400000	2420.64800000	2419.62600000	2406.45800000	2406.77400000	2411.37600000	2412.62600000	2414.54600000	2414.51000000	2419.22860000	2418.64180000
2727023411.37123728	2425.17400000	2421.96800000	2437.16200000	2433.77200000	2417.57000000	2418.08200000	2419.58200000	2420.98000000	2422.64600000	2417.80600000	2414.39600000	2417.44800000	2441.28600000	2444.52000000	2435.27200000	2434.79000000	2427.24600000	2424.86800000	2413.79800000	2415.16000000	2425.41320000	2424.93940000
2728026755.85284281	2416.59800000	2417.98600000	2444.28400000	2446.71600000	2428.02800000	2425.84600000	2419.76800000	2417.25600000	2434.55400000	2429.32000000	2411.16800000	2407.86200000	2425.30600000	2423.07200000	2424.31000000	2424.31600000	2417.95600000	2415.13800000	2414.29000000	2414.26600000	2423.62620000	2422.17780000
2729030100.33444834	2416.11200000	2414.82600000	2444.36400000	2443.13600000	2424.44400000	2424.25600000	2419.13600000	2417.23600000	2442.49600000	2437.80800000	2412.19000000	2411.63200000	2425.50800000	2423.78400000	2418.51600000	2421.66000000	2416.75800000	2416.56200000	2408.63400000	2411.37600000	2422.81580000	2422.22760000
2730033444.81605339	2438.92600000	2439.96400000	2448.14800000	2446.39400000	2420.81400000	2420.50600000	2417.00400000	2410.35400000	2425.65400000	2423.33200000	2410.26400000	2409.48400000	2413.65800000	2415.50000000	2425.82600000	2418.70800000	2422.15800000	2419.65600000	2405.20000000	2404.38200000	2422.76520000	2420.82800000
2731036789.29765892	2420.25200000	2415.81200000	2444.02800000	2439.07600000	2422.14400000	2419.86400000	2417.20000000	2411.86600000	2426.78200000	2429.06000000	2412.15200000	2404.03200000	2423.35400000	2422.13800000	2423.05600000	2422.24400000	2411.42600000	2412.87600000	2412.97800000	2411.07000000	2421.33720000	2418.80380000
2732040133.77926445	2449.57400000	2445.65400000	2443.37000000	2440.14800000	2413.14000000	2410.13600000	2401.88800000	2404.13400000	2442.16200000	2440.66600000	2406.93400000	2410.62800000	2417.88600000	2417.61800000	2429.91600000	2428.91600000	2414.91800000	2414.71400000	2405.87400000	2410.48000000	2422.56620000	2422.30940000
2733043478.26086950	2416.65000000	2417.36000000	2442.69400000	2441.38400000	2420.83200000	2422.08200000	2419.17200000	2413.28800000	2425.70000000	2421.28600000	2409.58400000	2407.36600000	2427.57600000	2427.05800000	2425.03800000	2425.14000000	2410.76000000	2409.70400000	2411.91800000	2411.41600000	2420.99240000	2419.60840000
2734046822.74247503	2423.40600000	2420.19200000	2436.25800000	2439.40600000	2431.23800000	2430.82800000	2419.91400000	2420.05800000	2401.31200000	2404.64800000	2414.13800000	2412.66600000	2424.60200000	2423.12800000	2426.08000000	2425.84800000	2417.21200000	2415.57600000	2421.48800000	2418.84800000	2421.56480000	2421.11980000
2735050167.22408009	2442.94400000	2443.62400000	2428.12400000	2430.14400000	2432.47600000	2429.21800000	2411.91600000	2413.58800000	2409.97000000	2415.84200000	2437.43400000	2437.90000000	2423.96400000	2418.96600000	2403.23000000	2402.67400000	2411.69400000	2414.60400000	2416.94400000	2415.13800000	2421.86960000	2422.16980000
2736053511.70568562	2414.06800000	2417.51600000	2453.01400000	2452.78000000	2415.00000000	2417.25600000	2404.45200000	2402.15800000	2438.79200000	2434.44800000	2402.38000000	2399.95600000	2420.93200000	2419.85600000	2420.03600000	2416.52200000	2425.43400000	2428.99400000	2407.16000000	2406.45600000	2420.12680000	2419.59420000
2737056856.18729115	2417.38000000	2414.57600000	2452.98400000	2450.89800000	2426.50600000	2421.70000000	2419.74200000	2415.60400000	2442.22800000	2442.95000000	2413.27400000	2409.71200000	2426.29800000	2426.89400000	2425.17000000	2423.29600000	2427.33200000	2428.30200000	2413.72000000	2409.26400000	2426.46340000	2424.31960000
2738060200.66889620	2423.98000000	2424.88200000	2432.54200000	2430.58800000	2409.72200000	2413.24200000	2419.83400000	2416.38600000	2421.48400000	2421.54800000	2449.97000000	2445.12200000	2422.35400000	2423.00200000	2403.48200000	2405.61000000	2423.05000000	2416.07200000	2443.46800000	2438.44200000	2424.98860000	2423.48940000
2739063545.15050173	2439.32400000	2434.88400000	2424.63600000	2426.38200000	2431.98800000	2428.34200000	2410.70600000	2410.37000000	2408.77800000	2409.24600000	2436.24400000	2433.02000000	2419.20000000	2419.84000000	2402.63400000	2402.97400000	2408.44600000	2413.65000000	2411.12600000	2407.97000000	2419.30820000	2418.66780000
2740066889.63210726	2431.91400000	2431.99600000	2441.69200000	2439.88000000	2419.86200000	2419.98000000	2429.66000000	2427.81600000	2428.02400000	2419.77800000	2441.89000000	2441.83400000	2431.04200000	2428.14200000	2417.54800000	2415.30400000	2410.60000000	2409.62000000	2448.72400000	2449.30600000	2430.09560000	2428.36560000
2741070234.11371231	2441.43000000	2444.43400000	2453.04200000	2454.46200000	2424.73200000	2426.09200000	2420.59000000	2423.37600000	2412.48400000	2410.83000000	2419.92600000	2423.40800000	2423.98000000	2422.01800000	2428.37200000	2425.64200000	2408.92000000	2408.07800000	2407.68600000	2405.09600000	2424.11620000	2424.34360000
2742073578.59531784	2441.87600000	2437.33200000	2460.01400000	2454.41400000	2424.74000000	2423.39600000	2424.78200000	2426.70400000	2411.06000000	2404.04200000	2411.36200000	2412.06600000	2424.10000000	2421.86400000	2426.28400000	2427.30200000	2402.92400000	2400.45800000	2405.53400000	2410.29800000	2423.26760000	2421.78760000
2743076923.07692289	2452.72400000	2448.82800000	2457.35800000	2455.97400000	2426.88400000	2430.16200000	2428.53600000	2426.89200000	2419.10200000	2418.52000000	2424.11800000	2421.66400000	2431.82600000	2428.29800000	2433.57400000	2429.92400000	2414.79200000	2410.84600000	2409.87800000	2414.03400000	2429.87920000	2428.51420000
