freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	PL_sig6	PL_ref6	PL_sig7	PL_ref7	PL_sig8	PL_ref8	PL_sig9	PL_ref9	PL_sig10	PL_ref10	avgPL_sig	avgPL_ref
2720000000.00000000	2592.06800000	2590.76400000	2599.10000000	2602.79800000	2588.95600000	2592.17600000	2616.37800000	2613.70000000	2655.02800000	2649.51800000	2579.20200000	2575.50800000	2612.57800000	2611.26600000	2616.02200000	2611.64600000	2579.27200000	2578.06200000	2557.19400000	2558.10200000	2599.57980000	2598.35400000
2721003344.48160553	2606.05200000	2601.44600000	2602.49000000	2598.55800000	2612.39400000	2611.75800000	2605.40200000	2610.52400000	2602.71800000	2603.33800000	2583.09600000	2579.51200000	2631.79600000	2632.61400000	2626.99800000	2624.95200000	2583.25600000	2580.60600000	2568.29400000	2562.59000000	2602.24960000	2600.58980000
2722006688.96321058	2561.37000000	2564.99600000	2629.33400000	2629.22800000	2604.41600000	2603.21800000	2646.86000000	2646.58800000	2636.98400000	2635.15800000	2579.86400000	2576.47000000	2586.80600000	2582.98200000	2581.77200000	2578.34000000	2601.92400000	2599.59400000	2554.67200000	2553.32200000	2598.40020000	2596.98960000
2723010033.44481611	2624.80600000	2620.96600000	2602.28400000	2600.68400000	2600.01800000	2596.94200000	2603.86600000	2604.39400000	2605.47200000	2599.79000000	2568.91000000	2564.74200000	2616.02400000	2615.60200000	2614.08600000	2608.44800000	2594.00400000	2596.04400000	2587.89800000	2584.61800000	2601.73680000	2599.22300000
2724013377.92642164	2650.83200000	2647.44000000	2598.23400000	2598.10400000	2601.10600000	2593.93000000	2599.25200000	2597.70000000	2594.33800000	2593.04800000	2588.32600000	2584.72200000	2606.28600000	2606.87400000	2598.56000000	2598.96400000	2586.92200000	2588.63000000	2574.13000000	2575.70400000	2599.79860000	2598.51160000
2725016722.40802670	2623.58400000	2621.91200000	2603.98200000	2601.92200000	2596.84400000	2595.43800000	2608.20800000	2605.20600000	2604.74400000	2600.53000000	2579.05000000	2573.66800000	2606.41800000	2606.64000000	2623.97800000	2622.10000000	2595.64600000	2591.71200000	2585.58600000	2576.14400000	2602.80400000	2599.52720000
2726020066.88963223	2628.79400000	2622.72800000	2632.73000000	2626.07400000	2619.56200000	2622.41200000	2645.07600000	2643.94000000	2594.98200000	2593.61600000	2609.56600000	2608.03600000	2584.51600000	2585.49800000	2631.25400000	2632.86600000	2608.87000000	2608.93400000	2561.85600000	2556.09800000	2611.72060000	2610.02020000
2727023411.37123728	2634.31600000	2632.47000000	2605.86400000	2606.29200000	2578.56600000	2575.38600000	2595.37800000	2595.23400000	2598.48600000	2598.28200000	2584.60000000	2583.30800000	2621.22400000	2617.51800000	2607.73200000	2609.12200000	2570.31600000	2569.64200000	2568.64400000	2565.91400000	2596.51260000	2595.31680000
2728026755.85284281	2562.02800000	2559.68200000	2626.44000000	2626.31400000	2601.17000000	2600.63800000	2644.42000000	2641.65600000	2642.43800000	2638.44800000	2576.17200000	2573.09600000	2580.36400000	2588.71600000	2577.47400000	2580.02600000	2605.61400000	2599.94200000	2556.82400000	2555.46200000	2597.29440000	2596.39800000
2729030100.33444834	2628.34200000	2624.56600000	2601.60200000	2599.65000000	2615.95400000	2611.29200000	2612.11600000	2610.43800000	2596.88400000	2591.66200000	2579.31200000	2577.39800000	2595.36400000	2590.59800000	2602.57200000	2606.10800000	2584.51400000	2588.14600000	2573.90000000	2569.43400000	2599.05600000	2596.92920000
