freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	avgPL_sig	avgPL_ref
2620000000.00000000	5418.17200000	5406.03000000	5424.86400000	5413.12800000	5396.25400000	5387.75200000	5384.50600000	5377.27200000	5418.45200000	5403.74000000	5408.44960000	5397.58440000
2621672240.80267572	5417.45400000	5408.52200000	5410.65600000	5397.86200000	5397.77000000	5393.41200000	5382.93800000	5378.41200000	5414.79600000	5407.76400000	5404.72280000	5397.19440000
2623344481.60535097	5430.89400000	5420.65200000	5409.77800000	5399.27600000	5391.31400000	5386.00400000	5375.62800000	5371.35200000	5409.36400000	5401.49600000	5403.39560000	5395.75600000
2625016722.40802670	5497.27400000	5494.47400000	5422.20000000	5414.52000000	5398.41800000	5391.96800000	5389.61600000	5388.76200000	5456.38600000	5444.31400000	5432.77880000	5426.80760000
2626688963.21070242	5436.43400000	5426.56400000	5372.39400000	5360.24600000	5389.02400000	5386.07200000	5412.64400000	5414.04000000	5392.10800000	5382.26400000	5400.52080000	5393.83720000
2628361204.01337814	5423.83200000	5419.65800000	5372.98200000	5370.55400000	5417.92400000	5413.86600000	5396.41200000	5392.20000000	5421.81400000	5414.54400000	5406.59280000	5402.16440000
2630033444.81605339	5417.62800000	5413.61600000	5387.10600000	5377.05000000	5388.72200000	5378.05600000	5471.90000000	5464.44200000	5463.75600000	5452.52600000	5425.82240000	5417.13800000
2631705685.61872911	5430.85800000	5418.96200000	5360.01000000	5351.17400000	5398.04800000	5392.37200000	5372.20400000	5358.07600000	5419.05400000	5409.28200000	5396.03480000	5385.97320000
2633377926.42140484	5428.96600000	5423.18000000	5378.26600000	5369.64000000	5396.78600000	5388.00200000	5404.87000000	5397.31000000	5386.07200000	5381.37200000	5398.99200000	5391.90080000
2635050167.22408009	5413.25800000	5402.66400000	5397.68800000	5383.11400000	5402.31800000	5395.96000000	5399.43000000	5392.98800000	5407.48400000	5393.91000000	5404.03560000	5393.72720000
2636722408.02675581	5442.69200000	5438.21800000	5370.96200000	5367.81400000	5381.02000000	5371.60400000	5430.27400000	5422.99400000	5398.02200000	5390.63400000	5404.59400000	5398.25280000
2638394648.82943153	5420.81800000	5421.62800000	5371.94000000	5368.82000000	5381.21800000	5382.99400000	5365.77800000	5359.63600000	5429.33200000	5425.65000000	5393.81720000	5391.74560000
2640066889.63210726	5375.02000000	5380.34000000	5372.56400000	5365.57400000	5391.50200000	5383.15000000	5402.30000000	5394.16800000	5421.23800000	5424.98200000	5392.52480000	5389.64280000
2641739130.43478251	5371.80800000	5368.87200000	5375.28200000	5367.95400000	5378.12400000	5370.29600000	5433.88200000	5421.97800000	5429.09600000	5419.33200000	5397.63840000	5389.68640000
2643411371.23745823	5430.51000000	5421.71600000	5410.08000000	5401.90000000	5399.41800000	5390.06200000	5402.79800000	5400.39000000	5404.11400000	5398.40600000	5409.38400000	5402.49480000
2645083612.04013395	5428.74000000	5422.18400000	5403.02000000	5401.79800000	5406.50000000	5391.41600000	5381.55600000	5378.32000000	5403.12800000	5401.70000000	5404.58880000	5399.08360000
2646755852.84280920	5465.54000000	5463.40600000	5407.41200000	5398.85600000	5390.32400000	5378.51000000	5389.51200000	5382.43400000	5425.24800000	5417.96800000	5415.60720000	5408.23480000
2648428093.64548492	5424.42800000	5417.47600000	5421.66600000	5419.06200000	5401.17600000	5387.77800000	5379.39800000	5373.15000000	5414.74600000	5396.97400000	5408.28280000	5398.88800000
2650100334.44816065	5464.93800000	5471.20800000	5389.14600000	5390.64400000	5383.85400000	5377.55000000	5404.51600000	5404.20600000	5415.66000000	5409.46000000	5411.62280000	5410.61360000
