freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	avgPL_sig	avgPL_ref
2620000000.00000000	3615.94400000	3611.15200000	3619.29000000	3611.76200000	3596.18800000	3599.03600000	3597.08400000	3585.78600000	3572.76200000	3574.58000000	3600.25360000	3596.46320000
2621672240.80267572	3610.32600000	3615.38800000	3610.29200000	3617.87200000	3595.89800000	3595.58400000	3591.29400000	3590.66400000	3568.85800000	3564.23600000	3595.33360000	3596.74880000
2623344481.60535097	3616.01000000	3616.89800000	3613.21000000	3605.72400000	3613.30800000	3607.31800000	3600.06600000	3595.76000000	3581.57000000	3577.99400000	3604.83280000	3600.73880000
2625016722.40802670	3613.69200000	3614.71000000	3613.36600000	3608.03800000	3605.52400000	3603.70800000	3598.92400000	3598.76400000	3579.91000000	3580.53800000	3602.28320000	3601.15160000
2626688963.21070242	3616.57400000	3611.84600000	3618.39400000	3608.86000000	3599.22200000	3591.94800000	3593.88600000	3586.36800000	3568.90000000	3563.14800000	3599.39520000	3592.43400000
2628361204.01337814	3616.80600000	3612.09200000	3602.99400000	3606.89200000	3604.42000000	3607.80200000	3591.42000000	3594.47200000	3586.66600000	3579.60000000	3600.46120000	3600.17160000
2630033444.81605339	3616.01000000	3613.17800000	3616.47000000	3616.98000000	3593.99000000	3590.76400000	3592.91600000	3592.68200000	3571.53400000	3572.01600000	3598.18400000	3597.12400000
2631705685.61872911	3623.51800000	3615.50600000	3611.23200000	3605.48400000	3609.02600000	3612.75000000	3596.40800000	3590.40400000	3585.41200000	3579.02400000	3605.11920000	3600.63360000
2633377926.42140484	3610.25200000	3615.49200000	3617.74400000	3613.30400000	3586.99600000	3590.53600000	3586.11600000	3588.35000000	3574.19600000	3573.22600000	3595.06080000	3596.18160000
2635050167.22408009	3616.58600000	3609.39800000	3609.18800000	3609.67200000	3598.13200000	3596.20000000	3596.74600000	3589.97200000	3574.66200000	3571.24000000	3599.06280000	3595.29640000
2636722408.02675581	3612.45600000	3610.43800000	3614.94000000	3609.42200000	3593.76800000	3590.27200000	3594.47200000	3587.04600000	3576.14600000	3573.81400000	3598.35640000	3594.19840000
2638394648.82943153	3603.00800000	3615.10000000	3603.25200000	3610.65600000	3603.66400000	3608.47800000	3596.07800000	3593.99800000	3582.04800000	3581.06000000	3597.61000000	3601.85840000
2640066889.63210726	3613.78200000	3608.60400000	3611.25600000	3606.78000000	3597.23600000	3591.52600000	3598.33200000	3592.49800000	3573.18200000	3571.09200000	3598.75760000	3594.10000000
2641739130.43478251	3609.39800000	3618.42200000	3608.67200000	3620.69600000	3610.75000000	3612.55800000	3589.06800000	3588.16600000	3596.28400000	3591.80200000	3602.83440000	3606.32880000
2643411371.23745823	3622.85800000	3616.96400000	3618.61200000	3616.82600000	3598.92600000	3602.34000000	3594.44800000	3594.09800000	3572.01800000	3569.59200000	3601.37240000	3599.96400000
2645083612.04013395	3616.83200000	3613.46600000	3613.07800000	3616.04000000	3602.16400000	3599.52800000	3596.29800000	3590.70800000	3568.88600000	3566.67400000	3599.45160000	3597.28320000
2646755852.84280920	3624.92200000	3618.67000000	3613.15600000	3614.69200000	3610.51800000	3601.65200000	3594.54800000	3590.17400000	3585.40400000	3581.04000000	3605.70960000	3601.24560000
2648428093.64548492	3621.83400000	3619.60800000	3620.14800000	3614.44200000	3608.14600000	3611.21200000	3595.55200000	3589.86000000	3599.25000000	3594.15400000	3608.98600000	3605.85520000
2650100334.44816065	3613.09400000	3610.89200000	3613.40600000	3608.74400000	3599.58800000	3597.56000000	3585.82800000	3589.17000000	3572.40800000	3567.31200000	3596.86480000	3594.73560000
2651772575.25083590	3617.59800000	3612.29600000	3611.53600000	3612.53000000	3612.45600000	3604.28600000	3595.86200000	3594.20800000	3572.82400000	3567.52400000	3602.05520000	3598.16880000
2653444816.05351162	3610.71400000	3620.29600000	3616.62600000	3614.83200000	3590.26600000	3591.03200000	3588.06400000	3588.63400000	3573.71600000	3573.33800000	3595.87720000	3597.62640000
2655117056.85618734	3611.29600000	3603.09800000	3617.77800000	3610.76800000	3597.03000000	3595.84800000	3588.92800000	3592.57200000	3569.14200000	3571.04600000	3596.83480000	3594.66640000
2656789297.65886307	3618.06200000	3615.26800000	3617.66400000	3614.49200000	3595.00400000	3590.90800000	3587.21000000	3586.88800000	3575.05200000	3567.58600000	3598.59840000	3595.02840000
2658461538.46153831	3614.42400000	3622.02400000	3615.12200000	3622.02000000	3611.41000000	3610.78400000	3595.10400000	3592.91600000	3572.25200000	3572.53600000	3601.66240000	3604.05600000
2660133779.26421404	3621.27200000	3618.19200000	3618.71800000	3616.50800000	3604.58400000	3603.92400000	3590.57400000	3590.24400000	3566.82600000	3570.42000000	3600.39480000	3599.85760000
2661806020.06688976	3612.85800000	3609.47400000	3607.13400000	3611.09600000	3611.41600000	3605.31400000	3598.14400000	3599.95000000	3577.59600000	3581.33400000	3601.42960000	3601.43360000
2663478260.86956501	3619.10200000	3619.08200000	3619.63200000	3618.44400000	3604.84400000	3606.62600000	3590.99600000	3590.73800000	3580.83200000	3578.63200000	3603.08120000	3602.70440000
2665150501.67224073	3620.53000000	3621.34600000	3613.34800000	3618.10600000	3610.11400000	3607.93400000	3590.37600000	3590.29000000	3585.92600000	3586.44200000	3604.05880000	3604.82360000
2666822742.47491646	3621.38600000	3615.75200000	3612.84200000	3609.14600000	3603.83000000	3605.30400000	3592.01200000	3589.17400000	3585.14200000	3582.63200000	3603.04240000	3600.40160000
2668494983.27759218	3624.27800000	3618.41600000	3622.06000000	3615.69200000	3614.75000000	3611.28200000	3590.51600000	3595.24200000	3575.89000000	3574.47400000	3605.49880000	3603.02120000
2670167224.08026743	3622.68600000	3615.51000000	3611.60000000	3612.75600000	3605.11600000	3601.24600000	3594.53800000	3593.89600000	3569.49000000	3568.87600000	3600.68600000	3598.45680000
2671839464.88294315	3622.84200000	3621.97800000	3610.57800000	3608.73800000	3611.05000000	3610.65800000	3592.67800000	3594.80800000	3582.17000000	3582.87600000	3603.86360000	3603.81160000
2673511705.68561888	3614.17400000	3608.38000000	3613.48400000	3616.39800000	3598.80000000	3597.64600000	3586.71800000	3583.26200000	3565.27200000	3563.19800000	3595.68960000	3593.77680000
2675183946.48829412	3619.55200000	3620.81800000	3600.75200000	3595.76000000	3611.26600000	3611.96800000	3598.45600000	3590.94000000	3571.33200000	3576.56600000	3600.27160000	3599.21040000
2676856187.29096985	3609.81200000	3608.77200000	3607.85800000	3610.26400000	3594.34000000	3589.66400000	3591.68400000	3592.71000000	3571.05800000	3573.27000000	3594.95040000	3594.93600000
2678528428.09364557	3608.11400000	3614.45600000	3606.25800000	3606.94600000	3606.31400000	3605.98200000	3594.32000000	3591.74400000	3582.54800000	3575.92800000	3599.51080000	3599.01120000
2680200668.89632130	3614.31000000	3607.90400000	3613.54400000	3612.14200000	3588.81400000	3592.08200000	3594.58600000	3589.52000000	3577.34000000	3571.62400000	3597.71880000	3594.65440000
2681872909.69899654	3608.08000000	3611.53600000	3615.07800000	3615.27800000	3596.47600000	3598.32600000	3595.36600000	3591.64800000	3568.99000000	3565.74200000	3596.79800000	3596.50600000
2683545150.50167227	3607.22800000	3616.29200000	3617.21800000	3617.36600000	3593.70200000	3594.75600000	3592.53800000	3591.36800000	3561.82000000	3567.25000000	3594.50120000	3597.40640000
2685217391.30434799	3607.48000000	3614.80600000	3617.07600000	3612.92200000	3593.23000000	3596.65800000	3590.65200000	3588.47800000	3572.69400000	3565.59200000	3596.22640000	3595.69120000
2686889632.10702324	3608.26400000	3610.68400000	3609.10000000	3613.31000000	3593.23400000	3597.82400000	3591.10000000	3587.81800000	3563.54600000	3567.42600000	3593.04880000	3595.41240000
2688561872.90969896	3621.87000000	3620.05600000	3611.27200000	3610.81400000	3613.21800000	3610.16800000	3594.05600000	3597.39400000	3581.59000000	3582.14800000	3604.40120000	3604.11600000
2690234113.71237469	3625.10000000	3619.58200000	3612.22400000	3612.68600000	3604.82600000	3609.98000000	3592.66200000	3589.32600000	3581.41000000	3590.37000000	3603.24440000	3604.38880000
2691906354.51504993	3608.88400000	3614.00000000	3603.17800000	3605.52800000	3600.42400000	3604.52000000	3594.60000000	3595.59200000	3578.52600000	3576.19200000	3597.12240000	3599.16640000
2693578595.31772566	3612.95000000	3611.64400000	3615.50400000	3614.21600000	3595.74800000	3596.39000000	3586.98800000	3590.15200000	3564.94600000	3568.40400000	3595.22720000	3596.16120000
2695250836.12040138	3606.66800000	3614.50800000	3610.47800000	3616.08400000	3593.17000000	3595.98800000	3587.12000000	3590.57600000	3567.72800000	3573.63400000	3593.03280000	3598.15800000
2696923076.92307711	3614.42200000	3614.22200000	3608.25000000	3616.58200000	3597.48000000	3598.53400000	3587.46200000	3591.47800000	3561.69800000	3566.87200000	3593.86240000	3597.53760000
2698595317.72575235	3608.35000000	3617.28800000	3603.20200000	3605.80800000	3587.34400000	3593.19400000	3589.22800000	3588.79600000	3567.28600000	3572.83800000	3591.08200000	3595.58480000
2700267558.52842808	3617.21600000	3616.94000000	3609.53200000	3615.77200000	3605.20800000	3606.15000000	3588.62200000	3591.62400000	3560.98200000	3577.29800000	3596.31200000	3601.55680000
2701939799.33110380	3611.59200000	3613.74000000	3596.66600000	3606.73200000	3600.94800000	3605.74400000	3593.26600000	3597.95400000	3577.26600000	3580.83800000	3595.94760000	3601.00160000
